Id,ActivityDate,TotalSteps,TotalDistance,TrackerDistance,LoggedActivitiesDistance,VeryActiveDistance,ModeratelyActiveDistance,LightActiveDistance,SedentaryActiveDistance,VeryActiveMinutes,FairlyActiveMinutes,LightlyActiveMinutes,SedentaryMinutes,Calories,Weekday,Month,ActiveMinutes,TotalRecordedMinutes,ActiveHours,SedentaryHours,ActivePercentage,CaloriesPerStep,StepCategory,DayType
1503960366,2016-03-25,11004,7.1100001335144,7.1100001335144,0.0,2.5699999332428,0.46000000834465,4.07000017166138,0.0,33,12,205,804,1819,Friday,March,250,1054,4.166666666666667,13.4,23.719165085388994,0.1653035259905489,Highly active,Weekday
1503960366,2016-03-26,17609,11.5500001907349,11.5500001907349,0.0,6.92000007629395,0.730000019073486,3.91000008583069,0.0,89,17,274,588,2154,Saturday,March,380,968,6.333333333333333,9.8,39.25619834710744,0.12232381168720541,Highly active,Weekend
1503960366,2016-03-27,12736,8.52999973297119,8.52999973297119,0.0,4.65999984741211,0.159999996423721,3.71000003814697,0.0,56,5,268,605,1944,Sunday,March,329,934,5.483333333333333,10.083333333333334,35.224839400428266,0.15263819095477388,Highly active,Weekend
1503960366,2016-03-28,13231,8.93000030517578,8.93000030517578,0.0,3.19000005722046,0.790000021457672,4.94999980926514,0.0,39,20,224,1080,1932,Monday,March,283,1363,4.716666666666667,18.0,20.763022743947175,0.14602070894112312,Highly active,Weekday
1503960366,2016-03-29,12041,7.84999990463257,7.84999990463257,0.0,2.16000008583069,1.0900000333786,4.6100001335144,0.0,28,28,243,763,1886,Tuesday,March,299,1062,4.983333333333333,12.716666666666667,28.15442561205273,0.1566315090108795,Highly active,Weekday
1503960366,2016-03-30,10970,7.15999984741211,7.15999984741211,0.0,2.35999989509583,0.509999990463257,4.28999996185303,0.0,30,13,223,1174,1820,Wednesday,March,266,1440,4.433333333333334,19.566666666666666,18.47222222222222,0.1659070191431176,Highly active,Weekday
1503960366,2016-03-31,12256,7.8600001335144,7.8600001335144,0.0,2.28999996185303,0.490000009536743,5.03999996185303,0.0,33,12,239,820,1889,Thursday,March,284,1104,4.733333333333333,13.666666666666666,25.724637681159418,0.154128590078329,Highly active,Weekday
1503960366,2016-04-01,12262,7.86999988555908,7.86999988555908,0.0,3.3199999332428,0.829999983310699,3.64000010490417,0.0,47,21,200,866,1868,Friday,April,268,1134,4.466666666666667,14.433333333333334,23.633156966490297,0.1523405643451313,Highly active,Weekday
1503960366,2016-04-02,11248,7.25,7.25,0.0,3.0,0.449999988079071,3.74000000953674,0.0,40,11,244,636,1843,Saturday,April,295,931,4.916666666666667,10.6,31.68635875402793,0.16385135135135134,Highly active,Weekend
1503960366,2016-04-03,10016,6.36999988555908,6.36999988555908,0.0,0.910000026226044,1.27999997138977,4.17999982833862,0.0,15,30,314,655,1850,Sunday,April,359,1014,5.983333333333333,10.916666666666666,35.404339250493095,0.18470447284345048,Highly active,Weekend
1503960366,2016-04-04,14557,9.80000019073486,9.80000019073486,0.0,3.39000010490417,0.699999988079071,5.69000005722046,0.0,43,18,285,757,2030,Monday,April,346,1103,5.766666666666667,12.616666666666667,31.368993653671808,0.13945181012571273,Highly active,Weekday
1503960366,2016-04-05,14844,9.72999954223633,9.72999954223633,0.0,2.94000005722046,0.759999990463257,6.03999996185303,0.0,36,18,341,736,2083,Tuesday,April,395,1131,6.583333333333333,12.266666666666667,34.92484526967286,0.1403260576663972,Highly active,Weekday
1503960366,2016-04-06,11974,7.67000007629395,7.67000007629395,0.0,2.03999996185303,0.479999989271164,5.15000009536743,0.0,27,12,228,1173,1861,Wednesday,April,267,1440,4.45,19.55,18.541666666666668,0.15542007683313847,Highly active,Weekday
